premise,hypothesis,label,label_id
اولین انتقال و نفوذ طبیعی فرهنگ و تمدن اسلامی به اروپا از طریق کانون های جغرافیایی مصر، اندلس و سیسیل انجام گرفت و آنچه توانست به روند این انتقال سرعت بخشد جنگ های صلیبی بود.,نخستین انتقال و نفوذ طبیعی فرهنگ و تمدن اسلامی به اروپا از طریق کانون های جغرافیایی مصر، اندلس و سیسیل بود و جنگ های صلیبی توانست این روند را سریع کند.,e,1
اولین انتقال و نفوذ طبیعی فرهنگ و تمدن اسلامی به اروپا از طریق کانون های جغرافیایی مصر، اندلس و سیسیل انجام گرفت و آنچه توانست به روند این انتقال سرعت بخشد جنگ های صلیبی بود.,کانون های جغرافیایی مصر، اندلس و شام، نخستین راهی بودند که از طریق آن‌ها فرهنگ و تمدن اسلامی به اروپا نفوذ کرد و روابط تجاری و اقتصادی، این روند را تسریع می کرد.,c,0
اولین انتقال و نفوذ طبیعی فرهنگ و تمدن اسلامی به اروپا از طریق کانون های جغرافیایی مصر، اندلس و سیسیل انجام گرفت و آنچه توانست به روند این انتقال سرعت بخشد جنگ های صلیبی بود.,سیسیل بعد از اسپانیا بزرگ ترین کانونی بود که همه فرهنگ و تمدن اسلامی را به اروپا منتقل کرد. کتاب کلیله و دمنه برای نخستین بار در سیسیل به لاتین ترجمه شد.,n,2
ویژگی های هنر عصر اموی:  یک   تلفیقی بودن  دو   بازنمایی نوعی تفنن و تفریح  سه   نقاشی های تزئینی و تندیس های بی کیفیت,نقاشی های تزئینی و تندیس های بی‌کیفیت، یکی از ویژگی های هنر عصر اموی است.,e,1
ویژگی های هنر عصر اموی:  یک   تلفیقی بودن  دو   بازنمایی نوعی تفنن و تفریح  سه   نقاشی های تزئینی و تندیس های بی کیفیت,با کیفیت بودن تندیس های دوره اموی، یکی از ویژگی های هنر این دوره است.,c,0
ویژگی های هنر عصر اموی:  یک   تلفیقی بودن  دو   بازنمایی نوعی تفنن و تفریح  سه   نقاشی های تزئینی و تندیس های بی کیفیت,دوره امویان عصری است که در آن سنت های هنری تمدن اسلامی پایه گذاری شد.,n,2
قبه الصخره یکی از تجلی گاه های زیبایی و ظرافت هنر اسلامی محسوب می شود و به فرمان عبدالملک بن مروان برای برگزاری روز عرفه ساخته شد.,قبه الصخره به فرمان عبدالملک بن مروان و برای برگزاری روز عرفه بنا گردید.,e,1
قبه الصخره یکی از تجلی گاه های زیبایی و ظرافت هنر اسلامی محسوب می شود و به فرمان عبدالملک بن مروان برای برگزاری روز عرفه ساخته شد.,مروان بن عبدالملک به مناسبت مراسم عید قربان، دستور به ساخت قبه الصخره داد.,c,0
قبه الصخره یکی از تجلی گاه های زیبایی و ظرافت هنر اسلامی محسوب می شود و به فرمان عبدالملک بن مروان برای برگزاری روز عرفه ساخته شد.,قبه الصخره در بیت المقدس و برای برگزاری روز عرفه توسط عبدالملک بن مروان احداث شد.,n,2
در دوران نبوت، مسجد النبی اولین آموزشگاه آن دوره بود.,نخستین آموزشگاه عصر نبوت، مسجد النبی است.,e,1
در دوران نبوت، مسجد النبی اولین آموزشگاه آن دوره بود.,اولین آموزشگاه عصر نبوت، مسجد کوفه نام دارد.,c,0
در دوران نبوت، مسجد النبی اولین آموزشگاه آن دوره بود.,حلقه‌های درسی امام صادق در مسجد النبی برپا می‌شد.,n,2
رواج و پیدایش علم کلام، از مهمترین نتایج ورود اندیشه ها به جهان اسلام و تلاش و مساعی معتزلیان و مناظرات آنان با مخالفان بود.,یکی از مهمترین نتایج ورود اندیشه‌ها به عالم اسلام و سعی و تلاش معتزلیان، رواج علم کلام است.,e,1
رواج و پیدایش علم کلام، از مهمترین نتایج ورود اندیشه ها به جهان اسلام و تلاش و مساعی معتزلیان و مناظرات آنان با مخالفان بود.,ورود اندیشه ها به جهان اسلام و تلاش معتزلیان، به چیزی جز رشد نهضت ترجمه منجر نشد.,c,0
رواج و پیدایش علم کلام، از مهمترین نتایج ورود اندیشه ها به جهان اسلام و تلاش و مساعی معتزلیان و مناظرات آنان با مخالفان بود.,یکی از مهم‌ترین پیامدهای نهضت ترجمه، رشد علم کلام در نتیجه نفوذ فلسفه یونان بود.,n,2
پروین اعتصامی بیشتر به دلیل به کار بردن سبک شعری مناظره در شعرهایش، معروف است. شعر پروین از دیدگاه طرز بیان مفاهیم و معانی، بیشتر به صورت  مناظره  و  سؤال و جواب  است. در دیوان او بیش از هفتاد نمونه مناظره آمده که وی را از این لحاظ در میان شاعران فارسی برجسته ساخته‌است.,سبک شعری پروین اعتصامی بیشتر سبک مناظره است.,e,1
پروین اعتصامی بیشتر به دلیل به کار بردن سبک شعری مناظره در شعرهایش، معروف است. شعر پروین از دیدگاه طرز بیان مفاهیم و معانی، بیشتر به صورت  مناظره  و  سؤال و جواب  است. در دیوان او بیش از هفتاد نمونه مناظره آمده که وی را از این لحاظ در میان شاعران فارسی برجسته ساخته‌است.,پروین اعتصامی در اشعارش بیشتر از سبک هندی بهره برد.,c,0
پروین اعتصامی بیشتر به دلیل به کار بردن سبک شعری مناظره در شعرهایش، معروف است. شعر پروین از دیدگاه طرز بیان مفاهیم و معانی، بیشتر به صورت  مناظره  و  سؤال و جواب  است. در دیوان او بیش از هفتاد نمونه مناظره آمده که وی را از این لحاظ در میان شاعران فارسی برجسته ساخته‌است.,در شعرهای پروین می‌توان ویژگی‌های بلیغ زبان را به وضوح یافت.,n,2
زادروز پروین اعتصامی (بیست و پنجم اسفندماه)، به عنوان  روز بزرگداشت پروین اعتصامی  نام‌گذاری شده‌است., بیست و پنج  اسفند در تقویم ایرانی، روز بزرگداشت پروین اعتصامی می باشد.,e,1
زادروز پروین اعتصامی (بیست و پنجم اسفندماه)، به عنوان  روز بزرگداشت پروین اعتصامی  نام‌گذاری شده‌است.,در تقویم ایرانی،  پانزده  فروردین روز بزرگداشت پروین اعتصامی است.,c,0
زادروز پروین اعتصامی (بیست و پنجم اسفندماه)، به عنوان  روز بزرگداشت پروین اعتصامی  نام‌گذاری شده‌است.,تنها اثر چاپ و منتشر شده از پروین اعتصامی، دیوان اشعار اوست.,n,2
رخشنده اعتصامی معروف به پروین اعتصامی (زاده  بیست و پنج  اسفند  هزار و دویست و هشتاد و پنج  در تبریز   درگذشته  پانزده  فروردین  هزار و سیصد و بیست  در تهران) شاعر ایرانی است که به عنوان  مشهورترین شاعر زن ایران  از او یاد شده‌است.,پروین اعتصامی معروفترین شاعر زن ایران می باشد.,e,1
رخشنده اعتصامی معروف به پروین اعتصامی (زاده  بیست و پنج  اسفند  هزار و دویست و هشتاد و پنج  در تبریز   درگذشته  پانزده  فروردین  هزار و سیصد و بیست  در تهران) شاعر ایرانی است که به عنوان  مشهورترین شاعر زن ایران  از او یاد شده‌است.,نام مشهورترین شاعر زن ایران، فروغ فرخزاد است.,c,0
رخشنده اعتصامی معروف به پروین اعتصامی (زاده  بیست و پنج  اسفند  هزار و دویست و هشتاد و پنج  در تبریز   درگذشته  پانزده  فروردین  هزار و سیصد و بیست  در تهران) شاعر ایرانی است که به عنوان  مشهورترین شاعر زن ایران  از او یاد شده‌است.,پروین از کودکی فارسی، انگلیسی و عربی را آموخت.,n,2
